,"données brutes de fichier de digit de branche fuji36, branche + arbre fuji 42 et branche fuji 48 réarrangées",,,,,,,,,,,,,,,L*l*coef allométrie 2001/10,
#,X,Y,Z,A,B,C,code rameau,type rameau,Long rameau(mm),Long rameau(cm),Nbr feuille,L feuille(mm),largeur feuille,N° fruit,L digitalisée,Surf foliaire(cm²),somme surf foliaire rameau
1,152.07,48.97,-144.02,-87.68,12,32.35,,,, ,,,,, ,,
1,151.51,49.81,-143.53,-54.46,24.55,58.59,,,, ,L1,18,13,,,1.724814,
1,151.63,49.81,-144.8,-49.74,-50.94,56.34,,,, ,L2,30,21,,,4.64373,
1,151.82,47.94,-144.93,116.56,-84.3,-154.48,,,, ,L3,11,8,,,0.648648,
1,153,48.05,-143.75,125.58,-37.36,-72.43,,,, ,L4,29,21,,,4.488939,
1,152.66,45.63,-139.98,-114.25,-1.14,56.37,F36IF3,IF,6,0.60,4,,,4,0.57,,14.756742
1,153,45.46,-139.56,-112.85,-2.44,55.85,,,, ,,,,, ,,
1,151.49,44.86,-140.69,-74.73,7.97,-133.22,,,, ,L1,26,20,,,3.83292,
1,151.68,46.43,-138.94,-141.53,-34.27,154.16,,,, ,L2,39,22,,,6.324318,
1,153.03,46.07,-139.95,125.67,-42.28,-69.21,,,, ,L3,25,21,,,3.869775,
1,152.04,44.88,-141.1,-32.51,-20.43,-8.96,,,, ,L4,11,9,,,0.729729,
1,126.83,50.28,-164.91,-161.19,-24.04,-108.95,F36I7,I,2,0.20,4,,,,0.33,,9.87714
1,126.69,50.39,-164.63,-162.79,-24.16,-107.91,,,, ,,,,, ,,
1,128.49,51.19,-165.48,171.7,-57.08,-130.32,,,, ,L1,24,18,,,3.184272,
1,127.17,50.25,-166.09,134.46,-48.53,-54.74,,,, ,L2,21,16,,,2.476656,
1,127.03,49.4,-165.47,63.53,-12.64,-11.93,,,, ,L3,26,17,,,3.257982,
1,127.32,49.67,-164.85,87.41,-28.97,-151,,,, ,L4,13,10,,,0.95823,
1,129.58,50.6,-161.86,163.28,63.47,-57.2,F36VC6,VC,2,0.20,1,,,,0.23,,3.567564
1,129.77,50.48,-161.83,164.69,64.03,-55.1,,,, ,,,,, ,,
1,129.21,49.61,-162.39,89.15,-19.85,-67.43,,,, ,L1,22,22,,,3.567564,
1,129.07,55.9,-160.09,158.81,14.43,-66.04,F36IF4,IF,5,0.50,3,,,5,0.44,,7.724808
1,129.24,56.29,-160.22,157.4,15.93,-61.48,,,, ,,,,, ,,
1,129.92,56.44,-159.3,170.52,30.07,-48.84,,,, ,L1,26,20,,,3.83292,
1,129.54,56.38,-160.34,151.27,-41.83,-89.4,,,, ,L2,12,10,,,0.88452,
